StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1-1_1,1-2_1,1-3_1,1-4_1,1-5_1,1-6_1,1-7_1,1-8_1,1-9_1,1-10_1,1-11_1,1-12_1,2-1_1,2-2_1,2-3_1,2-4_1,2-5_1,2-6_1,2-7_1,2-8_1,2-9_1,2-10_1,2-11_1,2-12_1,3-1_1,3-2_1,3-3_1,3-4_1,3-5_1,3-6_1,3-7_1,3-8_1,3-9_1,3-10_1,2-11_1,2-12_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Desk - Click to write Choice 1,Did you find this explanation useful? - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,"Desk

​​​​​​​ - Typicality Least to Most",Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Click to write Choice 1,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Why did you choose to take the question tour? - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}"
2022-05-02 13:33:22,2022-05-02 13:34:00,1,,100,37,1,2022-05-02 13:34:01,R_3LcAIjlSvZyMqoP,,,,,40.7359,-73.9904,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-02 13:43:08,2022-05-02 13:48:21,0,174.250.2.5,100,313,1,2022-05-02 13:48:22,R_2YxrD4cRvE19DM0,,,,,37.751,-97.822,qr,EN,5,4,5,5,7,5,7,6,6,2,2,3,4,4,6,7,6,2,3,2,4,2,7,1,7,7,2,6,5,4,3,2,2,4,4,5
2022-05-02 13:47:37,2022-05-02 13:49:48,0,66.65.189.195,100,130,1,2022-05-02 13:49:48,R_yxSPOhQ4rG7PY9b,,,,,40.712,-74.0163,anonymous,EN,6,4,7,6,7,5,6,7,7,3,3,2,7,7,7,7,7,5,5,5,6,5,7,2,7,7,2,7,7,7,7,2,3,4,5,7
2022-05-02 13:36:33,2022-05-02 13:50:30,0,107.77.226.226,100,836,1,2022-05-02 13:50:30,R_1E6dDZhZE5eG9Mw,,,,,40.8123,-73.9682,qr,EN,3,4,,,5,4,6,6,5,,2,2,4,5,6,5,5,3,3,2,3,4,6,1,6,6,2,4,2,3,2,2,3,2,2,4
2022-05-02 13:47:32,2022-05-02 13:50:32,0,71.172.124.250,100,180,1,2022-05-02 13:50:33,R_1hNkvIEkNwTaZxH,,,,,40.734,-74.0712,anonymous,EN,5,5,4,4,5,5,7,7,7,1,,2,7,7,7,7,7,5,5,5,6,7,6,3,7,7,3,7,7,6,7,,2,7,7,7
2022-05-02 13:48:32,2022-05-02 13:50:43,0,50.225.16.155,100,130,1,2022-05-02 13:50:43,R_10wmUBnc7XlAhuI,,,,,42.509,-71.1984,anonymous,EN,5,3,6,4,6,4,7,7,6,2,2,3,6,5,7,7,6,4,5,3,5,5,6,2,6,7,1,7,5,5,4,2,3,4,4,5
2022-05-02 13:44:31,2022-05-02 13:50:49,0,216.165.95.133,100,377,1,2022-05-02 13:50:49,R_2bZctX8xNWgJw5a,,,,,40.7359,-73.9904,anonymous,EN,5,4,3,3,4,2,7,7,7,2,2,4,4,4,7,6,5,3,4,3,3,5,6,2,6,6,2,4,4,3,3,2,2,2,3,2
2022-05-02 13:47:34,2022-05-02 13:51:56,0,216.165.95.160,100,261,1,2022-05-02 13:51:56,R_1KoNslzN0m8LK85,,,,,40.7359,-73.9904,anonymous,EN,7,5,5,4,7,5,7,7,7,2,3,6,6,5,7,7,5,4,4,3,4,3,6,3,7,7,3,7,7,7,7,2,3,5,6,7
2022-05-02 13:54:21,2022-05-02 13:55:54,0,216.165.95.178,100,92,1,2022-05-02 13:55:54,R_5ihuEaUcHKDWA9z,,,,,40.7359,-73.9904,anonymous,EN,6,5,6,6,7,6,7,7,7,5,6,6,7,7,7,7,7,6,6,7,6,7,7,5,7,7,5,7,7,7,7,6,7,7,7,7
2022-05-02 13:51:26,2022-05-02 13:56:24,0,216.165.95.190,100,298,1,2022-05-02 13:56:24,R_2zpVzW0pZ6yuFjw,,,,,40.7359,-73.9904,anonymous,EN,6,,5,4,7,3,6,7,5,1,1,2,3,4,6,7,6,2,5,2,2,,7,,7,7,,6,4,4,5,,2,2,3,4
2022-05-02 13:52:34,2022-05-02 13:56:32,0,152.23.80.38,100,237,1,2022-05-02 13:56:32,R_XUoLrDbwT1sNcqJ,,,,,35.9153,-79.0386,anonymous,EN,7,4,5,3,5,2,6,7,5,3,3,3,4,4,4,4,4,4,4,3,4,4,4,2,7,7,3,5,5,4,4,,2,2,3,3
2022-05-02 13:53:39,2022-05-02 13:57:03,0,100.8.212.6,100,204,1,2022-05-02 13:57:04,R_3lYqtd5EgvAHK93,,,,,40.7424,-74.0325,qr,EN,5,3,2,2,4,1,6,7,,1,1,1,4,4,7,6,5,,3,2,5,4,7,1,7,7,1,7,7,3,2,1,1,2,2,2
2022-05-02 13:58:12,2022-05-02 13:59:35,0,38.122.11.250,100,82,1,2022-05-02 13:59:35,R_2YDimWZvO9SRGCq,,,,,40.7362,-74.0422,anonymous,EN,5,3,4,4,5,5,7,7,7,2,2,3,7,7,7,6,7,3,5,2,2,4,5,1,7,7,,5,5,4,3,,,2,3,3
2022-05-02 13:59:02,2022-05-02 14:01:39,0,107.77.226.122,100,156,1,2022-05-02 14:01:39,R_1H80RDwcWRYbDpg,,,,,40.8123,-73.9682,qr,EN,7,2,6,4,7,6,7,7,7,1,1,1,7,7,7,7,7,4,7,4,5,6,6,1,7,7,3,7,7,7,7,4,4,7,7,7
2022-05-02 13:59:33,2022-05-02 14:02:16,0,216.165.95.168,100,163,1,2022-05-02 14:02:17,R_3MrteaZk0hTXG8j,,,,,40.7359,-73.9904,qr,EN,7,7,7,7,7,7,7,7,7,,7,,7,7,7,7,7,7,7,7,7,7,7,,7,7,,7,7,7,7,,,7,4,7
2022-05-02 14:02:06,2022-05-02 14:03:56,0,65.78.21.158,100,110,1,2022-05-02 14:03:57,R_6httSYgpskgCMVz,,,,,40.782,-73.9953,anonymous,EN,2,,4,5,6,2,7,7,7,3,,2,4,3,5,5,6,6,6,3,2,4,5,6,7,7,,7,7,7,7,3,2,7,7,7
2022-05-02 14:03:09,2022-05-02 14:06:47,0,38.122.11.250,100,217,1,2022-05-02 14:06:47,R_1ML1ER9Y3MjVwfa,,,,,40.7362,-74.0422,qr,EN,3,,5,3,7,3,7,6,5,2,3,2,2,2,7,6,4,1,3,1,2,4,6,,6,7,1,7,3,3,,,,4,3,4
2022-05-02 14:11:02,2022-05-02 14:14:20,0,74.102.100.88,100,197,1,2022-05-02 14:14:20,R_3Mhe9LszggQdubk,,,,,40.7467,-74.0574,anonymous,EN,7,4,7,7,7,7,7,7,7,7,3,2,7,7,7,7,7,7,7,7,7,7,7,5,7,7,,7,7,7,7,4,4,7,7,7
2022-05-02 14:24:20,2022-05-02 14:26:45,0,100.1.101.137,100,144,1,2022-05-02 14:26:45,R_2dSmJ68cvpnujAU,,,,,40.718,-74.0733,qr,EN,3,,6,5,7,5,7,7,7,,4,4,7,7,7,7,7,7,7,5,7,7,7,,7,7,,7,7,6,7,5,,7,7,7
2022-05-02 14:34:05,2022-05-02 14:37:39,0,68.237.40.199,100,213,1,2022-05-02 14:37:39,R_2axUyMOTTMdUspQ,,,,,40.7157,-74,anonymous,EN,7,1,6,6,6,6,7,7,7,1,1,3,7,7,7,7,7,7,7,7,7,7,7,4,7,7,1,7,7,7,6,1,7,7,4,7
2022-05-02 15:38:12,2022-05-02 15:40:52,0,72.229.114.171,100,160,1,2022-05-02 15:40:52,R_6mWHBU1I8xAU9wZ,,,,,40.7157,-74,qr,EN,7,6,5,5,6,6,7,7,7,4,4,5,7,6,7,6,6,5,6,6,7,6,6,3,7,7,4,7,5,4,3,5,4,4,5,4
2022-05-02 16:10:09,2022-05-02 16:13:10,0,98.225.21.89,100,180,1,2022-05-02 16:13:11,R_2rTHRRDOb1GMmcH,,,,,47.6631,-122.3029,anonymous,EN,5,4,4,4,6,3,6,6,5,2,3,3,6,5,7,7,7,6,6,5,5,5,7,2,7,6,4,6,5,5,5,1,,4,3,5
2022-05-02 16:14:14,2022-05-02 16:16:34,0,64.187.171.133,100,139,1,2022-05-02 16:16:34,R_PHuyUY3OYOrWenn,,,,,47.6144,-122.3447,anonymous,EN,5,5,7,7,4,5,5,6,1,,1,4,7,7,7,7,7,3,3,6,3,6,5,,4,3,,5,6,,,4,,6,,5
2022-05-02 16:13:37,2022-05-02 16:17:33,0,71.227.145.98,100,235,1,2022-05-02 16:17:33,R_1hMsgfVRM1TUZAZ,,,,,47.7178,-122.2999,anonymous,EN,5,,5,4,5,5,7,7,7,,3,3,6,6,6,6,6,6,6,6,,4,7,3,7,7,3,6,5,5,5,,2,3,3,3
2022-05-02 17:14:08,2022-05-02 17:16:18,0,170.140.104.7,100,129,1,2022-05-02 17:16:18,R_3qq8dTk1Kig8nrU,,,,,33.8088,-84.2815,anonymous,EN,5,2,4,3,6,2,7,6,6,2,2,2,6,6,7,7,7,4,5,3,3,3,4,2,7,7,,7,5,5,6,,2,4,3,6
2022-05-02 18:15:31,2022-05-02 18:18:56,0,61.149.70.101,100,205,1,2022-05-02 18:18:57,R_1pAQMuLU6ugpd2V,,,,,39.9075,116.3972,anonymous,EN,7,2,6,2,7,2,7,7,6,,3,4,7,7,7,7,7,7,7,7,7,7,7,2,7,7,,7,2,7,7,,,,,7
2022-05-02 19:01:47,2022-05-02 19:04:05,0,71.105.163.224,100,137,1,2022-05-02 19:04:05,R_3no7oURdr1BJGGS,,,,,40.694,-73.9901,anonymous,EN,2,,3,2,3,3,5,6,7,,,,7,6,6,6,6,6,6,6,6,6,6,2,6,6,1,6,4,4,3,2,2,2,,
2022-05-02 19:58:10,2022-05-02 19:59:48,0,76.64.99.5,100,97,1,2022-05-02 19:59:48,R_2agG1zXNbopniN6,,,,,43.7687,-79.4109,anonymous,EN,4,3,2,4,3,2,7,7,6,2,,4,3,,6,7,7,2,2,,,6,7,,7,7,,7,2,4,3,,,2,,2
2022-05-02 20:02:09,2022-05-02 20:06:07,0,174.56.97.29,100,238,1,2022-05-02 20:06:07,R_V5dAmilaGQVPb1v,,,,,32.3142,-106.7976,anonymous,EN,6,3,4,3,5,3,4,6,6,3,4,3,5,5,5,5,5,5,5,5,4,5,5,2,5,5,2,5,5,4,4,2,2,2,2,5
2022-05-02 21:48:55,2022-05-02 21:53:57,0,38.122.11.250,100,302,1,2022-05-02 21:53:58,R_SV3NUm0l3KI8VDH,,,,,40.7362,-74.0422,anonymous,EN,5,7,6,3,7,7,7,7,7,1,1,1,7,7,7,4,6,1,3,1,2,1,1,1,7,7,1,5,2,3,2,1,1,1,2,2
2022-05-03 10:01:33,2022-05-03 10:03:30,0,128.122.114.147,100,117,1,2022-05-03 10:03:30,R_2P0BdRRKs03J86p,,,,,40.7279,-73.9966,anonymous,EN,2,1,2,1,1,1,3,7,6,1,1,1,6,6,7,7,3,1,7,3,2,2,7,1,7,7,2,7,7,5,5,2,2,4,4,4
2022-05-03 11:00:46,2022-05-03 11:01:25,0,173.54.7.140,100,38,1,2022-05-03 11:01:25,R_9STXeOx4CbSeBAB,,,,,40.718,-74.0733,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-03 20:45:20,2022-05-03 20:49:15,0,24.90.24.167,100,235,1,2022-05-03 20:49:16,R_sBFrDlo7OCFy1fr,,,,,40.7681,-73.8291,anonymous,EN,4,2,1,3,5,2,4,6,7,,1,2,4,3,7,7,6,3,4,4,5,5,6,2,6,7,2,6,7,6,4,2,1,2,2,3
2022-05-03 23:35:42,2022-05-03 23:39:46,0,122.11.212.178,100,243,1,2022-05-03 23:39:46,R_eFMGcQoToLb7M6R,,,,,1.3209,103.8331,anonymous,EN,4,3,5,3,7,6,7,7,7,4,3,3,7,7,7,7,7,4,7,6,6,7,7,4,7,7,,7,7,6,5,3,3,5,5,5
2022-05-04 19:48:31,2022-05-04 19:53:00,0,68.175.33.242,100,268,1,2022-05-04 19:53:00,R_W7YvrHzcu9giNkl,,,,,40.6208,-74.0426,anonymous,EN,1,2,2,2,2,1,5,6,6,1,1,1,7,7,7,7,7,4,7,4,7,4,7,2,7,7,2,7,5,6,4,5,2,4,2,4
